root@fx8350:/mnt/c/UDACITY/TERM2/carnd2-proj4/build# ./pid
Listening to port 4567
*********** ITER=55 ***********  PID Kp=0.75 PID Ki=0.001 PID Kd=0.5 MeanE2=0.826347
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=56 ***********  PID Kp=0.8 PID Ki=0.001 PID Kd=0.5 MeanE2=0.806663
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=57 ***********  PID Kp=0.85 PID Ki=0.001 PID Kd=0.5 MeanE2=0.906011
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=58 ***********  PID Kp=0.9 PID Ki=0.001 PID Kd=0.5 MeanE2=0.943267
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=59 ***********  PID Kp=0.95 PID Ki=0.001 PID Kd=0.5 MeanE2=0.996711
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=60 ***********  PID Kp=0 PID Ki=0.001 PID Kd=0.75 MeanE2=1.96482
mean_error_squared_best=0.799986 kp_best=0.1 ki_best=0.001 kd_best=0.5
*********** ITER=61 ***********  PID Kp=0.05 PID Ki=0.001 PID Kd=0.75 MeanE2=0.407802
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=62 ***********  PID Kp=0.1 PID Ki=0.001 PID Kd=0.75 MeanE2=0.752372
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=63 ***********  PID Kp=0.15 PID Ki=0.001 PID Kd=0.75 MeanE2=1.18355
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=64 ***********  PID Kp=0.2 PID Ki=0.001 PID Kd=0.75 MeanE2=1.05543
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=65 ***********  PID Kp=0.25 PID Ki=0.001 PID Kd=0.75 MeanE2=1.32926
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=66 ***********  PID Kp=0.3 PID Ki=0.001 PID Kd=0.75 MeanE2=1.19616
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=67 ***********  PID Kp=0.35 PID Ki=0.001 PID Kd=0.75 MeanE2=1.06148
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=68 ***********  PID Kp=0.4 PID Ki=0.001 PID Kd=0.75 MeanE2=1.05875
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=69 ***********  PID Kp=0.45 PID Ki=0.001 PID Kd=0.75 MeanE2=0.933373
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=70 ***********  PID Kp=0.5 PID Ki=0.001 PID Kd=0.75 MeanE2=0.898099
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=71 ***********  PID Kp=0.55 PID Ki=0.001 PID Kd=0.75 MeanE2=1.06082
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=72 ***********  PID Kp=0.6 PID Ki=0.001 PID Kd=0.75 MeanE2=0.946469
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=73 ***********  PID Kp=0.65 PID Ki=0.001 PID Kd=0.75 MeanE2=0.800275
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=74 ***********  PID Kp=0.7 PID Ki=0.001 PID Kd=0.75 MeanE2=0.754448
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=75 ***********  PID Kp=0.75 PID Ki=0.001 PID Kd=0.75 MeanE2=0.778703
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=76 ***********  PID Kp=0.8 PID Ki=0.001 PID Kd=0.75 MeanE2=1.00953
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=77 ***********  PID Kp=0.85 PID Ki=0.001 PID Kd=0.75 MeanE2=1.36661
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=78 ***********  PID Kp=0.9 PID Ki=0.001 PID Kd=0.75 MeanE2=0.966582
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=79 ***********  PID Kp=0.95 PID Ki=0.001 PID Kd=0.75 MeanE2=0.842826
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=80 ***********  PID Kp=0 PID Ki=0.001 PID Kd=1 MeanE2=1.60782
mean_error_squared_best=0.407802 kp_best=0.05 ki_best=0.001 kd_best=0.75
*********** ITER=81 ***********  PID Kp=0.05 PID Ki=0.001 PID Kd=1 MeanE2=0.321428
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=82 ***********  PID Kp=0.1 PID Ki=0.001 PID Kd=1 MeanE2=0.691269
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=83 ***********  PID Kp=0.15 PID Ki=0.001 PID Kd=1 MeanE2=0.419377
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=84 ***********  PID Kp=0.2 PID Ki=0.001 PID Kd=1 MeanE2=0.567313
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=85 ***********  PID Kp=0.25 PID Ki=0.001 PID Kd=1 MeanE2=1.19361
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=86 ***********  PID Kp=0.3 PID Ki=0.001 PID Kd=1 MeanE2=0.969799
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=87 ***********  PID Kp=0.35 PID Ki=0.001 PID Kd=1 MeanE2=1.51146
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=88 ***********  PID Kp=0.4 PID Ki=0.001 PID Kd=1 MeanE2=1.06283
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=89 ***********  PID Kp=0.45 PID Ki=0.001 PID Kd=1 MeanE2=0.949698
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=90 ***********  PID Kp=0.5 PID Ki=0.001 PID Kd=1 MeanE2=0.857597
mean_error_squared_best=0.321428 kp_best=0.05 ki_best=0.001 kd_best=1
*********** ITER=91 ***********  PID Kp=0.55 PID Ki=0.001 PID Kd=1 MeanE2=0.767423
